weather_temp,forward_temp,backward_temp
37,34,31
36,34,31
35,34,31
34,34,31
33,34,31
32,34,31
31,34,31
30,34,31
29,34,31
28,34,31
27,34,31
26,34,31
25,34,31
24,34,31
23,34,31
22,34,31
21,34,31
20,34,31
19,34,31
18,34,31
17,34,31
16,34,31
15,34,31
14,34,31
13,34,31
12,34,31
11,34,31
10,34,31
9,36,32
8,37,33
7,39,34
6,40,35
5,42,36
4,44,37
3,45,38
2,47,39
1,48,40
0,50,41
-1,51.3,42.7
-2,52.6,42.7
-3,54,43.6
-4,55.3,44.4
-5,56.7,46
-6,58.1,46.5
-7,59.4,47
-8,60.8,47.8
-9,62.2,48.7
-10,64,49.7
-11,65.4,50.7
-12,66.8,51.7
-13,68.2,52.6
-14,69.6,53.6
-15,71,54.6
-16,71.6,55
-17,72.8,55.5
-18,74.1,56.4
-19,75.3,57.2
-20,76.5,58.4
-21,77.8,59.2
-22,79.1,60.1
-23,80.4,60.9
-24,81.8,61.7
-25,83.6,62.5
-26,84.8,63.2
-27,85.9,64
-28,87.1,64.9
-29,88.2,65.7
-30,89.9,67
-31,91.1,67.4
-32,92.4,68.3
-33,93.7,69.1
-34,94.4,69.6
-35,95,70